bitwith,efuse_signals,default_value
,efuse_val_csr_cfg_xtal_div2_en,0x0
[3:0],efuse_val_csr_digpll_bias_ext,0x5
[3:0],efuse_val_csr_digpll_bias_int,0x5
[1:0],efuse_val_csr_digpll_cfg_bias_vco,0x2
[1:0],efuse_val_csr_digpll_cfg_c1,0x2
[1:0],efuse_val_csr_digpll_cfg_c2,0x3
[2:0],efuse_val_csr_digpll_cfg_cp_current,0x4
,efuse_val_csr_digpll_cfg_cp_current_from,0x0
[1:0],efuse_val_csr_digpll_cfg_ldo_vsel,0x1
[1:0],efuse_val_csr_digpll_cfg_r2,0x1
,efuse_val_csr_digpll_cfg_r3,0x0
[2:0],efuse_val_csr_digpll_cfg_vco_band,0x3
[2:0],efuse_val_csr_digpll_cfg_vco_up,0x4
,efuse_val_csr_digpll_en_vco_bias_lpf,0x1
,efuse_val_csr_digpll_ensw_vco_core,0x1
,efuse_val_csr_digpll_ensw_vco_pre,0x0
,efuse_val_csr_digpll_inner_ldo_en,0x1
,efuse_val_csr_xtal_div2_en,0x0
,efuse_val_csr_xtal_div2_en_ana,0x0
,efuse_val_csr_xtal_ldo09_en,0x0
[2:0],efuse_val_csr_xtal_ldo09_vsel,0x0
,efuse_val_csr_xtal_ldo26_en,0x0
[2:0],efuse_val_csr_xtal_ldo26_vsel,0x0
